index0,index1,index2,SHR_MED_COL
GLD,J,O,0.017620430538442214
GLD,J,P,0.03149497719595219
GLD,J,Q,0.010295065447482262
GLD,J,R,0.03955134026196542
GLD,J,S,0.026892387703327858
GLD,K,A,0.05435595049445369
GLD,K,B,0.03369825330720235
GLD,K,C,0.007235496526534412
GLD,K,D,0.10150712416834866
GLD,K,E,0.01878590215228456
GLD,K,F,0.027133035136499718
GLD,K,G,0.02505925542916236
GLD,K,H,0.028923493873154096
GLD,K,I,0.035199241112610705
GLD,K,J,0.018316765996015425
GLD,K,K,0.1182319139912475
GLD,K,L,0.1363924484260053
GLD,K,M,0.03309459732006181
GLD,K,N,0.023794609430357605
GLD,K,O,0.039342208079623894
GLD,K,P,0.02476351721945847
GLD,K,Q,0.021073144978471556
GLD,K,R,0.013527296706269584
GLD,K,S,0.014241871362483212
GLD,L,A,0.01230205504182296
GLD,L,B,0.01653586844683979
GLD,L,C,0.006217517725417173
GLD,L,D,0.007773913765750501
GLD,L,E,0.02170066832242978
GLD,L,F,0.06895842287534755
GLD,L,G,0.06613715191238942
GLD,L,H,0.05556272992504153
GLD,L,I,0.02559535351882904
GLD,L,J,0.03703389282691041
GLD,L,K,0.012837732981031235
GLD,L,L,0.031097999286004156
GLD,L,M,0.03648521935011136
GLD,L,N,0.05051201711348898
GLD,L,O,0.01518352374002608
GLD,L,P,0.022705023543238993
GLD,L,Q,0.014141446691111212
GLD,L,R,0.035995252158622086
GLD,L,S,0.03175996866139383
GLD,M,A,0.03153998555753916
GLD,M,B,0.036810816389024996
GLD,M,C,0.023036605170808563
GLD,M,D,0.0495174437051988
GLD,M,E,0.04767962726655919
GLD,M,F,0.06265516522901658
GLD,M,G,0.06844630504489893
GLD,M,H,0.012810341577270075
GLD,M,I,0.0450427648948691
GLD,M,J,0.09067021487631571
GLD,M,K,0.09995497451564718
GLD,M,L,0.02844748591078713
GLD,M,M,0.1770580677457033
GLD,M,N,0.0807560906261492
GLD,M,O,0.07106672269209144
GLD,M,P,0.035726222067813396
GLD,M,Q,0.02951913318220315
GLD,M,R,0.09074637374033412
GLD,M,S,0.05126642441426653
GLD,N,A,0.014958045654223418
GLD,N,B,0.005323509615384616
GLD,N,C,0.008790953806488576
GLD,N,D,0.010469088734394857
GLD,N,E,0.013367769886275218
GLD,N,F,0.025747534187152886
GLD,N,G,0.019174556032526616
GLD,N,H,0.04488343821535976
GLD,N,I,0.0433704820070981
GLD,N,J,0.01396627989499876
GLD,N,K,0.04010068271042419
GLD,N,L,0.018989291893095905
GLD,N,M,0.05219995139256668
GLD,N,N,0.05137132414275592
GLD,N,O,0.02557069431650975
GLD,N,P,0.0351237975207528
GLD,N,Q,0.037969772949726394
GLD,N,R,0.0678841287733616
GLD,N,S,0.03211051932547381
GLD,O,A,0.0012492116823460972
GLD,O,B,0.006345367773150417
GLD,O,C,0.0033023158347060097
GLD,O,D,0.0025821659066557023
GLD,O,E,0.006615507736231541
GLD,O,F,0.0038851958783413807
GLD,O,G,0.0047858309836102154
GLD,O,H,0.0008087077516944209
GLD,O,I,0.014220264110988414
GLD,O,J,0.01129840103975169
GLD,O,K,0.00402194281596469
GLD,O,L,0.0020703249291343867
GLD,O,M,0.014050200959089952
GLD,O,N,0.00859521306652555
GLD,O,O,0.02139595958991782
GLD,O,P,0.013335892905982276
GLD,O,Q,0.0053742647618178225
GLD,O,R,0.007908289559708728
GLD,O,S,0.011553563647216833
GLD,P,A,8.829558903175334e-5
GLD,P,B,0.000452641474767271
GLD,P,C,0.0003624221155912054
GLD,P,D,0.0010476639007251252
GLD,P,E,0.00024825802516012974
GLD,P,F,0.0003232081522937215
GLD,P,G,0.00027510359861025345
GLD,P,H,0.00015961398626509267
GLD,P,I,0.0005817389881804425
GLD,P,J,0.0002662944310010175
GLD,P,K,0.0027990046464843607
GLD,P,L,0.00023065849334671823
GLD,P,M,0.001565733935968775
GLD,P,N,0.0017354190024306895
GLD,P,O,0.001162525570322874
GLD,P,P,0.007906046583827975
GLD,P,Q,0.001032784091773548
GLD,P,R,0.006141348603377144
GLD,P,S,0.002219468736009551
GLD,Q,A,7.684291817944757e-5
GLD,Q,B,5.3596582557569824e-5
GLD,Q,C,0.0005319170665329801
GLD,Q,D,5.671509140896895e-5
GLD,Q,E,2.6888514025226525e-5
GLD,Q,F,0.00010410601395219844
GLD,Q,G,0.00013467000959728598
GLD,Q,H,0.00015426634947708607
GLD,Q,I,0.0002113837652629522
GLD,Q,J,0.00014794743097536574
GLD,Q,K,0.009112846515887372
GLD,Q,L,5.328575395215007e-5
GLD,Q,M,0.00015789145307206233
GLD,Q,N,0.0005246988546160677
GLD,Q,O,0.001589122893065209
GLD,Q,P,0.0015501097698897865
GLD,Q,Q,0.012008904001906876
GLD,Q,R,0.0003614220979777713
GLD,Q,S,0.00042701984778391284
GLD,R,A,0.00032809560106713734
GLD,R,B,0.0009707646374326311
GLD,R,C,0.00019151242569648356
GLD,R,D,0.0004987657089697906
GLD,R,E,0.001079532236545887
GLD,R,F,0.0023837124794663742
GLD,R,G,0.002277159947326523
GLD,R,H,0.0008893271690829931
GLD,R,I,0.0004162574582271118
GLD,R,J,0.006167249531855222
GLD,R,K,0.001068512749682853
GLD,R,L,0.0005564035358050609
GLD,R,M,0.0035034522159911193
GLD,R,N,0.004159298059933089
GLD,R,O,0.0024445892598662566
GLD,R,P,0.0121896964141836
GLD,R,Q,0.003733092437912375
GLD,R,R,0.08332152309669276
GLD,R,S,0.003035385763318908
GLD,S,A,0.007477979259021522
GLD,S,B,0.01316923689367957
GLD,S,C,0.0034721906467091593
GLD,S,D,0.008137404998629489
GLD,S,E,0.006279955721823497
GLD,S,F,0.008410160500060444
GLD,S,G,0.0071528445909249845
GLD,S,H,0.0013151317384083668
GLD,S,I,0.023763389363761534
GLD,S,J,0.012822861711314996
GLD,S,K,0.0027950904150308886
GLD,S,L,0.0015049946145185259
GLD,S,M,0.00629141788608449
GLD,S,N,0.009462592496255303
GLD,S,O,0.0046086167502063565
GLD,S,P,0.004778572326160715
GLD,S,Q,0.009760519015523808
GLD,S,R,0.006530691886286269
GLD,S,S,0.010075467840620803
