index0,index1,RAW_REG_OUT
GLD,A,101512.46866153873
GLD,B,324703.74061325047
GLD,C,673176.8583414248
GLD,D,131254.24065241104
GLD,E,503474.9199418557
GLD,F,136615.86617142
GLD,G,133363.156034618
GLD,H,116107.6118934492
GLD,I,214527.98564912926
GLD,J,135287.11783820816
GLD,K,304787.33393421257
GLD,L,380314.69895088306
GLD,M,259349.88528911257
GLD,N,97386.45632990671
GLD,O,218298.03002602863
GLD,P,145523.25111787647
GLD,Q,194485.7272616591
GLD,R,42995.849936520266
GLD,S,69531.8776874428
