ANZcode,GLD,AUS
A,566,279157
B,964,185889
C,4513,715416
D,858,121139
E,3251,953751
F,644,322209
G,2821,1102855
H,2015,772631
I,2510,522944
J,150,187935
K,301,402824
L,594,190641
M,2094,812382
N,801,382776
O,1302,745004
P,2286,968931
Q,2165,1413728
R,174,184878
S,1106,418232
