index0,index1,RAW_DOM_CCON
GLD,A,11173.0
GLD,B,5491.0
GLD,C,79499.0
GLD,D,28745.0
GLD,E,2265.0
GLD,F,40278.0
GLD,G,99492.0
GLD,H,62908.0
GLD,I,56912.0
GLD,J,26060.0
GLD,K,90838.0
GLD,L,210581.0
GLD,M,11270.0
GLD,N,8979.0
GLD,O,136051.0
GLD,P,112624.0
GLD,Q,188741.0
GLD,R,28581.0
GLD,S,37037.0
