index0,index1,REG_LAB
GLD,A,279157.0
GLD,B,185889.0
GLD,C,715416.0
GLD,D,121139.0
GLD,E,953751.0
GLD,F,322209.0
GLD,G,1.102855e6
GLD,H,772631.0
GLD,I,522944.0
GLD,J,187935.0
GLD,K,402824.0
GLD,L,190641.0
GLD,M,812382.0
GLD,N,382776.0
GLD,O,745004.0
GLD,P,968931.0
GLD,Q,1.413728e6
GLD,R,184878.0
GLD,S,418232.0
