index0,index1,REF_LAB
GLD,A,505.0
GLD,B,925.0
GLD,C,4009.0
GLD,D,823.0
GLD,E,3323.0
GLD,F,539.0
GLD,G,2758.0
GLD,H,1977.0
GLD,I,2465.0
GLD,J,101.0
GLD,K,263.0
GLD,L,499.0
GLD,M,1829.0
GLD,N,884.0
GLD,O,1273.0
GLD,P,2283.0
GLD,Q,2189.0
GLD,R,158.0
GLD,S,1031.0
