index0,index1,index2,RAW_INV_FLW
GLD,K,G,78.59308952748994
GLD,K,H,59.45121636707375
GLD,K,I,258.63892740317647
GLD,K,J,140.73243164520105
GLD,K,K,93.5084049287549
GLD,K,L,716.0732434954467
GLD,K,M,105.94564408901292
GLD,K,N,0.1000002433967185
GLD,K,O,200.22190146068874
GLD,K,P,94.13833621948068
GLD,K,Q,118.97637260585695
GLD,K,R,66.32244538076796
GLD,K,S,28.085028745439466
GLD,L,A,363.71367983945856
GLD,L,B,1246.9792061200615
GLD,L,C,483.2749673475001
GLD,L,D,702.3613615394466
GLD,L,E,328.1641541603992
GLD,L,F,270.9049955657149
GLD,L,G,309.0551539191378
GLD,L,H,226.68685020158065
GLD,L,I,1091.144734699686
GLD,L,J,578.9782722178333
GLD,L,K,373.84484254177323
GLD,L,L,3465.886060044627
GLD,L,M,427.870171623168
GLD,L,N,102.78836105171118
GLD,L,O,864.0802515797021
GLD,L,P,376.5811609737653
GLD,L,Q,484.47352009464817
GLD,L,R,255.7534809118459
GLD,L,S,157.57977558652712
GLD,M,A,794.9331166254279
GLD,M,B,3257.437151909747
GLD,M,C,1447.211883282438
GLD,M,D,1786.2291241921878
GLD,M,E,746.4059987976738
GLD,M,F,652.8840267019548
GLD,M,G,677.9862284714271
GLD,M,H,451.4917732062437
GLD,M,I,2911.3719408037205
GLD,M,J,1610.4729619298023
GLD,M,K,1149.181847108988
GLD,M,L,7662.41917846473
GLD,M,M,1794.1667305521728
GLD,M,N,242.259936487266
GLD,M,O,2306.943455437969
GLD,M,P,899.4442354259444
GLD,M,Q,1204.1276591095943
GLD,M,R,527.4945405030454
GLD,M,S,318.75261100338037
GLD,N,A,7.062442964162672
GLD,N,B,22.648508293020694
GLD,N,C,9.172214480379784
GLD,N,D,13.038202651845177
GLD,N,E,6.435138428379415
GLD,N,F,5.4247482541787475
GLD,N,G,6.0979428117819285
GLD,N,H,4.4150763033154075
GLD,N,I,19.898658833149558
GLD,N,J,10.860990207961692
GLD,N,K,7.24121694463272
GLD,N,L,54.961535539105284
GLD,N,M,8.194544565979662
GLD,N,N,0.10000003284329316
GLD,N,O,15.420925940407148
GLD,N,P,7.289501815649078
GLD,N,Q,9.193364097826024
GLD,N,R,5.157386385436913
GLD,N,S,0.10000011224939657
GLD,O,A,72.2293300619854
GLD,O,B,388.91429464440074
GLD,O,C,162.51536907668378
GLD,O,D,182.29234512405213
GLD,O,E,53.85220857155956
GLD,O,F,31.747153636791175
GLD,O,G,45.094943065956215
GLD,O,H,20.025675606512912
GLD,O,I,385.0536966899688
GLD,O,J,216.87621820691675
GLD,O,K,53.332114123076444
GLD,O,L,664.0032338852799
GLD,O,M,69.69216117910814
GLD,O,N,0.10000002218593639
GLD,O,O,239.54033053907787
GLD,O,P,45.52866090285202
GLD,O,Q,152.57060962163936
GLD,O,R,14.33528288641155
GLD,O,S,0.10000006579817688
GLD,P,A,47.63108728638698
GLD,P,B,152.6917347673317
GLD,P,C,61.85238825108718
GLD,P,D,87.91177476485028
GLD,P,E,43.40262437481525
GLD,P,F,36.591895124887095
GLD,P,G,41.129691588386535
GLD,P,H,31.126591420370517
GLD,P,I,134.15589153313155
GLD,P,J,73.23588547266013
GLD,P,K,48.836145586883234
GLD,P,L,370.50336095745945
GLD,P,M,55.262225972632514
GLD,P,N,0.10000006214794684
GLD,P,O,103.97294369359922
GLD,P,P,49.161618856784436
GLD,P,Q,61.994950968597735
GLD,P,R,34.789688394477366
GLD,P,S,5.215486644825904
GLD,Q,A,17.53330652917308
GLD,Q,B,56.04294276832257
GLD,Q,C,22.746076672248662
GLD,Q,D,32.298058887871264
GLD,Q,E,15.98337784551856
GLD,Q,F,13.486928920417384
GLD,Q,G,15.150242402322833
GLD,Q,H,11.335714967441163
GLD,Q,I,49.2486894322487
GLD,Q,J,26.91865987606135
GLD,Q,K,17.975016652986817
GLD,Q,L,135.88109024180332
GLD,Q,M,20.330474731833004
GLD,Q,N,0.10000003790638108
GLD,Q,O,38.18522791743118
GLD,Q,P,18.094317759111515
GLD,Q,Q,22.79833257429937
GLD,Q,R,12.826336652948019
GLD,Q,S,0.10000017512843042
GLD,R,A,13.681402641742908
GLD,R,B,43.75817267941726
GLD,R,C,17.752676451497162
GLD,R,D,25.21295894274455
GLD,R,E,12.470878580977084
GLD,R,F,10.521104279105025
GLD,R,G,11.820183918182522
GLD,R,H,8.789827985442464
GLD,R,I,38.451729289889364
GLD,R,J,21.011544415832816
GLD,R,K,14.026386766264496
GLD,R,L,106.11331183072097
GLD,R,M,15.86604481825001
GLD,R,N,0.10000003591048284
GLD,R,O,29.810951771255027
GLD,R,P,14.119563216337134
GLD,R,Q,17.79348932242057
GLD,R,R,10.005169199131949
GLD,R,S,0.10000014567293586
GLD,S,A,6.2967152850145345
GLD,S,B,20.206394232320427
GLD,S,C,8.179566451965856
GLD,S,D,11.62974143927621
GLD,S,E,5.736881676993429
GLD,S,F,4.835166052478129
GLD,S,G,5.435953830427166
GLD,S,H,3.9089743629057865
GLD,S,I,17.752309492650404
GLD,S,J,9.68670289356152
GLD,S,K,6.456260909605158
GLD,S,L,49.04393923509857
GLD,S,M,7.307051607110539
GLD,S,N,0.10000003251470692
GLD,S,O,13.756186806494682
GLD,S,P,6.499352407723954
GLD,S,Q,8.198441286283488
GLD,S,R,4.5965608779281535
GLD,S,S,0.10000010928652851
