Sectors,A,EPS_OUT
A,41.11499641407866,0.8
B,42.522459065876944,0.8
C,44.729874206361146,0.8
D,41.51366023941073,0.8
E,42.12893253734745,0.8
F,41.13571988984665,0.8
G,41.19622082265701,0.8
H,41.19379449615105,0.8
I,41.64163425674954,0.8
J,41.04064417364045,0.8
K,41.11964302899026,0.8
L,41.60119988360997,0.8
M,41.332487162618065,0.8
N,41.123817991749455,0.8
O,41.186826087950685,0.8
P,41.187024207425736,0.8
Q,41.17707787274094,0.8
R,41.02227654667852,0.8
S,41.107901496782766,0.8
