Regions,Sectors,INIT_KAP
GLD,A,0.4888633826429842
GLD,B,0.7122950842359952
GLD,C,2.3077981007023696
GLD,D,0.48917652694055896
GLD,E,0.48875208905672307
GLD,F,0.48897218310249174
GLD,G,0.5682932246922672
GLD,H,0.4892223451514773
GLD,I,0.5587521850218664
GLD,J,0.4889126337060077
GLD,K,1.3623073164852335
GLD,L,3.058274726860723
GLD,M,0.4888603926460974
GLD,N,0.4889746448423705
GLD,O,0.4892137143012493
GLD,P,0.48897937098446737
GLD,Q,0.4971555012050985
GLD,R,0.4889484103543457
GLD,S,0.48982189446909935
