Regions,Sectors,INIT_KAP
GLD,A,1.1097833195513322
GLD,B,2.0528580506259004
GLD,C,4.892477531743457
GLD,D,1.5810413142891753
GLD,E,1.4349828167293026
GLD,F,1.3070776141319318
GLD,G,2.0809863519304197
GLD,H,0.49683484513831944
GLD,I,1.2807220760588924
GLD,J,1.127397871008162
GLD,K,2.6511384903345143
GLD,L,3.9130184545392965
GLD,M,1.1829251397665528
GLD,N,0.7525769212674563
GLD,O,2.4502954923316858
GLD,P,0.4074032312368827
GLD,Q,0.44392879340906427
GLD,R,0.4631056148722398
GLD,S,0.7280101688841047
