Regions,Sectors,INIT_KAP
GLD,A,0.4414597682961225
GLD,B,0.7344264436061521
GLD,C,2.4214421456819384
GLD,D,0.46720878049170206
GLD,E,0.44132048940171237
GLD,F,0.44166421817618007
GLD,G,0.588429689984814
GLD,H,0.4419262228882057
GLD,I,0.5758209722514857
GLD,J,0.44158347312938634
GLD,K,1.4381986840708962
GLD,L,3.2308103780981625
GLD,M,0.44144637166865586
GLD,N,0.4416442574920971
GLD,O,0.4684438911184108
GLD,P,0.44157919527732226
GLD,Q,0.49086655313886984
GLD,R,0.44155427455259016
GLD,S,0.444823122128858
