Regions,Sectors,INIT_KAP
GLD,A,0.4645483539691887
GLD,B,0.7237337955477067
GLD,C,2.366971055917631
GLD,D,0.4701576833516526
GLD,E,0.46442778251125255
GLD,F,0.46469066245940194
GLD,G,0.5777721130308567
GLD,H,0.4649567763345646
GLD,I,0.5667144946424696
GLD,J,0.4646253040204483
GLD,K,1.401387981169864
GLD,L,3.147424956204292
GLD,M,0.46454488411651595
GLD,N,0.46469557975504067
GLD,O,0.47340958639687936
GLD,P,0.4646705599700253
GLD,Q,0.4909823484373002
GLD,R,0.4646424844238147
GLD,S,0.4663391592559606
