index0,index1,index2,RAW_YPO_CMED
GLD,A,A,215.02220000000307
GLD,A,B,8.025099999999952
GLD,A,C,771.3267999999953
GLD,A,D,3.8055999999999983
GLD,A,E,27.254099999999994
GLD,A,F,4.910499999999956
GLD,A,G,54.463099999999486
GLD,A,H,115.50049999999987
GLD,A,I,2.456299999999999
GLD,A,J,4.345299999999995
GLD,A,K,2.9298
GLD,A,L,5.782500000000027
GLD,A,M,4.62830000000001
GLD,A,N,1.8066999999999993
GLD,A,O,10.159300000000002
GLD,A,P,21.628899999999987
GLD,A,Q,14.591000000000008
GLD,A,R,29.230999999999995
GLD,A,S,11.802399999999977
GLD,B,A,6.80800000000005
GLD,B,B,166.21710000000166
GLD,B,C,14971.201100000006
GLD,B,D,209.19490000000042
GLD,B,E,55.802999999999884
GLD,B,F,2483.9228
GLD,B,G,13.4341
GLD,B,H,41.24579999999992
GLD,B,I,75.2188000000001
GLD,B,J,3.833499999999958
GLD,B,K,1.0267000000000053
GLD,B,L,6.094000000000051
GLD,B,M,12.851199999999835
GLD,B,N,6.036699999999996
GLD,B,O,7.025800000000004
GLD,B,P,9.062700000000007
GLD,B,Q,15.321100000000001
GLD,B,R,6.953199999999995
GLD,B,S,6.327799999999996
GLD,C,A,5635.424700000001
GLD,C,B,12738.767899999999
GLD,C,C,38825.64559999999
GLD,C,D,3505.1943
GLD,C,E,32282.514399999985
GLD,C,F,3180.8562999999995
GLD,C,G,2218.2447999999995
GLD,C,H,3883.4348000000064
GLD,C,I,12779.209999999995
GLD,C,J,3800.6366
GLD,C,K,841.9540000000002
GLD,C,L,732.0104000000001
GLD,C,M,2399.7228000000005
GLD,C,N,938.2215000000001
GLD,C,O,3288.3205
GLD,C,P,4554.4030999999995
GLD,C,Q,8422.783399999997
GLD,C,R,3904.8760999999995
GLD,C,S,8609.252199999999
GLD,D,A,2.349500000000262
GLD,D,B,2.315599999999904
GLD,D,C,13.225399999999354
GLD,D,D,1.8145000000004075
GLD,D,E,2.477199999999357
GLD,D,F,0.9198999999998705
GLD,D,G,0.6650999999997111
GLD,D,H,1.9832000000001244
GLD,D,I,3.5182999999997264
GLD,D,J,0.0
GLD,D,K,1.3508999999999105
GLD,D,L,2.741700000000037
GLD,D,M,1.5949999999993452
GLD,D,N,1.5895000000000437
GLD,D,O,2.868899999999485
GLD,D,P,0.0
GLD,D,Q,0.2658999999998741
GLD,D,R,1.042599999999993
GLD,D,S,1.4225999999999885
GLD,E,A,2.870800000000145
GLD,E,B,3.569600000000719
GLD,E,C,6.916199999999662
GLD,E,D,2.4408999999996013
GLD,E,E,19.72860000000219
GLD,E,F,0.8130000000001019
GLD,E,G,0.5634000000000015
GLD,E,H,1.8958999999999833
GLD,E,I,3.621499999999287
GLD,E,J,2.294399999999996
GLD,E,K,0.0
GLD,E,L,13.579799999999523
GLD,E,M,0.0
GLD,E,N,0.9429999999999836
GLD,E,O,9.007200000000012
GLD,E,P,0.0
GLD,E,Q,0.5784000000001015
GLD,E,R,0.27330000000006294
GLD,E,S,0.0
GLD,F,A,25.35909999999967
GLD,F,B,7.045400000000882
GLD,F,C,36.190300000002026
GLD,F,D,0.09809999999993124
GLD,F,E,4.0702000000019325
GLD,F,F,62.170300000000225
GLD,F,G,20.515100000000075
GLD,F,H,1.0817000000001826
GLD,F,I,8.643299999999726
GLD,F,J,9.635299999999916
GLD,F,K,6.582600000000184
GLD,F,L,3.9122999999999593
GLD,F,M,2.7163000000000466
GLD,F,N,3.116700000000037
GLD,F,O,1.8315999999999804
GLD,F,P,1.5562999999997373
GLD,F,Q,2.3251000000000204
GLD,F,R,0.7773999999999432
GLD,F,S,5.6283000000003085
GLD,G,A,0.0
GLD,G,B,0.0
GLD,G,C,0.0
GLD,G,D,1.1236999999999853
GLD,G,E,0.25209999999970023
GLD,G,F,0.453899999999976
GLD,G,G,0.0
GLD,G,H,0.0009999999999763531
GLD,G,I,0.21219999999993888
GLD,G,J,1.4839000000000624
GLD,G,K,0.0
GLD,G,L,0.11580000000003565
GLD,G,M,0.6023999999999887
GLD,G,N,0.0
GLD,G,O,0.0
GLD,G,P,0.0
GLD,G,Q,0.13609999999971478
GLD,G,R,0.077699999999993
GLD,G,S,0.6625000000000227
GLD,H,A,74.14149999999995
GLD,H,B,896.6168999999995
GLD,H,C,564.7952999999998
GLD,H,D,79.14870000000002
GLD,H,E,1545.6962000000003
GLD,H,F,212.27749999999992
GLD,H,G,124.06680000000006
GLD,H,H,10.009400000000028
GLD,H,I,219.5081
GLD,H,J,121.76610000000005
GLD,H,K,170.15480000000002
GLD,H,L,21.429599999999994
GLD,H,M,350.0066000000006
GLD,H,N,163.31720000000018
GLD,H,O,201.09670000000006
GLD,H,P,153.74710000000005
GLD,H,Q,92.13509999999997
GLD,H,R,55.16859999999997
GLD,H,S,51.252800000000036
GLD,I,A,50.76319999999987
GLD,I,B,57.14940000000024
GLD,I,C,314.3163999999997
GLD,I,D,120.97600000000011
GLD,I,E,165.64589999999953
GLD,I,F,99.00530000000072
GLD,I,G,134.04779999999982
GLD,I,H,43.01830000000018
GLD,I,I,466.0640000000021
GLD,I,J,111.56219999999985
GLD,I,K,266.46910000000025
GLD,I,L,24.1090999999999
GLD,I,M,1063.524300000001
GLD,I,N,343.5825
GLD,I,O,575.3010000000004
GLD,I,P,410.11630000000014
GLD,I,Q,177.18719999999985
GLD,I,R,127.95389999999998
GLD,I,S,90.2672
GLD,J,A,10.252900000000011
GLD,J,B,49.26310000000001
GLD,J,C,255.64679999999862
GLD,J,D,73.35550000000012
GLD,J,E,146.32110000000011
GLD,J,F,147.25880000000006
GLD,J,G,130.83979999999974
GLD,J,H,22.184099999999944
GLD,J,I,158.27980000000025
GLD,J,J,2365.6415000000015
GLD,J,K,126.18219999999928
GLD,J,L,132.06680000000006
GLD,J,M,1821.4398999999994
GLD,J,N,122.91780000000017
GLD,J,O,155.88929999999982
GLD,J,P,986.7350000000006
GLD,J,Q,106.99130000000014
GLD,J,R,211.37879999999996
GLD,J,S,84.05889999999977
GLD,K,A,142.6144000000004
GLD,K,B,265.5015999999996
GLD,K,C,196.46189999999933
GLD,K,D,241.7471999999998
GLD,K,E,257.9219000000012
GLD,K,F,69.52880000000005
GLD,K,G,67.28970000000027
GLD,K,H,141.9326000000001
GLD,K,I,171.90979999999945
GLD,K,J,44.16409999999996
GLD,K,K,671.4746999999988
GLD,K,L,488.30629999999655
GLD,K,M,168.45240000000013
GLD,K,N,80.88479999999981
GLD,K,O,252.46640000000025
GLD,K,P,86.08290000000034
GLD,K,Q,69.22379999999976
GLD,K,R,14.030299999999897
GLD,K,S,41.34780000000001
GLD,L,A,110.58870000000002
GLD,L,B,217.95320000000083
