index0,index1,index2,RAW_DOM_CMED
GLD,N,B,1728.0
GLD,N,C,6106.0
GLD,N,D,1257.0
GLD,N,E,6421.0
GLD,N,F,3591.0
GLD,N,G,2532.0
GLD,N,H,4930.0
GLD,N,I,9430.0
GLD,N,J,1466.0
GLD,N,K,10370.0
GLD,N,L,6103.0
GLD,N,M,13722.0
GLD,N,N,5217.0
GLD,N,O,4130.0
GLD,N,P,4454.0
GLD,N,Q,7403.0
GLD,N,R,2755.0
GLD,N,S,2103.0
GLD,O,A,124.0
GLD,O,B,2071.0
GLD,O,C,2299.0
GLD,O,D,309.0
GLD,O,E,3188.0
GLD,O,F,546.0
GLD,O,G,643.0
GLD,O,H,90.0
GLD,O,I,3128.0
GLD,O,J,1321.0
GLD,O,K,1072.0
GLD,O,L,678.0
GLD,O,M,3872.0
GLD,O,N,957.0
GLD,O,O,3576.0
GLD,O,P,1804.0
GLD,O,Q,1060.0
GLD,O,R,350.0
GLD,O,S,774.0
GLD,P,A,7.0
GLD,P,B,146.0
GLD,P,C,246.0
GLD,P,D,123.0
GLD,P,E,118.0
GLD,P,F,45.0
GLD,P,G,36.0
GLD,P,H,17.0
GLD,P,I,125.0
GLD,P,J,30.0
GLD,P,K,736.0
GLD,P,L,75.0
GLD,P,M,428.0
GLD,P,N,191.0
GLD,P,O,192.0
GLD,P,P,1059.0
GLD,P,Q,201.0
GLD,P,R,272.0
GLD,P,S,145.0
GLD,Q,A,8.0
GLD,Q,B,18.0
GLD,Q,C,366.0
GLD,Q,D,6.0
GLD,Q,E,12.0
GLD,Q,F,14.0
GLD,Q,G,18.0
GLD,Q,H,17.0
GLD,Q,I,44.0
GLD,Q,J,16.0
GLD,Q,K,2360.0
GLD,Q,L,18.0
GLD,Q,M,43.0
GLD,Q,N,57.0
GLD,Q,O,262.0
GLD,Q,P,206.0
GLD,Q,Q,2359.0
GLD,Q,R,15.0
GLD,Q,S,27.0
GLD,R,A,32.0
GLD,R,B,316.0
GLD,R,C,122.0
GLD,R,D,60.0
GLD,R,E,518.0
GLD,R,F,316.0
GLD,R,G,292.0
GLD,R,H,92.0
GLD,R,I,90.0
GLD,R,J,708.0
GLD,R,K,276.0
GLD,R,L,180.0
GLD,R,M,951.0
GLD,R,N,431.0
GLD,R,O,393.0
GLD,R,P,1492.0
GLD,R,Q,707.0
GLD,R,R,3549.0
GLD,R,S,200.0
GLD,S,A,742.0
GLD,S,B,4291.0
GLD,S,C,2408.0
GLD,S,D,977.0
GLD,S,E,3013.0
GLD,S,F,1179.0
GLD,S,G,956.0
GLD,S,H,145.0
GLD,S,I,5226.0
GLD,S,J,1492.0
GLD,S,K,742.0
GLD,S,L,491.0
GLD,S,M,1720.0
GLD,S,N,1050.0
GLD,S,O,767.0
GLD,S,P,641.0
GLD,S,Q,1888.0
GLD,S,R,284.0
GLD,S,S,671.0
