Regions,Sectors,INIT_KAP
GLD,A,0.2404923566738698
GLD,B,0.30523704237036997
GLD,C,1.2613274448792045
GLD,D,0.25692100964474207
GLD,E,0.05634447166198073
GLD,F,0.2945030493616685
GLD,G,0.4428467622121147
GLD,H,0.25371403362937117
GLD,I,0.3353176621180906
GLD,J,0.40630985631639105
GLD,K,1.2466656061509647
GLD,L,2.550562484035144
GLD,M,0.1479921637003754
GLD,N,0.2931662595697415
GLD,O,0.33203906483557355
GLD,P,0.1819700098594493
GLD,Q,0.3362439431127992
GLD,R,0.14513907826528685
GLD,S,0.33387401966331826
