Regions,Sectors,INIT_KAP
GLD,A,0.19099929249338132
GLD,B,0.2420118962023661
GLD,C,1.018142387650962
GLD,D,0.20994731345476692
GLD,E,0.045081209538383606
GLD,F,0.25364387538161703
GLD,G,0.34662439816604107
GLD,H,0.19150114211076294
GLD,I,0.28424063838022673
GLD,J,0.40857616841501887
GLD,K,1.2568263345777793
GLD,L,2.245319856049281
GLD,M,0.1021142807427915
GLD,N,0.20735022349742044
GLD,O,0.26050206621154504
GLD,P,0.1376806485817163
GLD,Q,0.2595854745033353
GLD,R,0.12519738167730282
GLD,S,0.23841607481690816
