Regions,Sectors,INIT_KAP
GLD,A,0.17513142470588342
GLD,B,0.21424733629202844
GLD,C,0.9344273875015487
GLD,D,0.2688266953730193
GLD,E,0.1843970698398714
GLD,F,0.23935978277358003
GLD,G,0.3269639557727722
GLD,H,0.17934677166301224
GLD,I,0.26026154453996636
GLD,J,0.3893008950676607
GLD,K,1.193879649341599
GLD,L,2.1113158472631666
GLD,M,0.10727626552819688
GLD,N,0.19972656576705672
GLD,O,0.2445440480487953
GLD,P,0.12851047320184827
GLD,Q,0.24466630320438962
GLD,R,0.1165417791077375
GLD,S,0.2262761439844081
