Regions,Sectors,INIT_KAP
GLD,A,0.2867008469192436
GLD,B,0.3782255587672145
GLD,C,1.049564103086737
GLD,D,0.43350091330213797
GLD,E,0.18005732892611473
GLD,F,0.43964874376830376
GLD,G,0.4662951240575607
GLD,H,0.13257272929615377
GLD,I,0.3335741438880026
GLD,J,0.5538502162059745
GLD,K,1.5289645342153875
GLD,L,2.3887657987640316
GLD,M,0.1754646868606947
GLD,N,0.297902935433645
GLD,O,0.3667743727375613
GLD,P,0.09487162035620275
GLD,Q,0.17741929441814808
GLD,R,0.14820226488167607
GLD,S,0.32693024772351903
