Regions,Sectors,INIT_KAP
GLD,A,0.17571753209231478
GLD,B,0.21939505375070667
GLD,C,0.9307514386944039
GLD,D,0.19186568772498105
GLD,E,0.09124023080996772
GLD,F,0.23213695056835926
GLD,G,0.3180237966905127
GLD,H,0.1759685493438716
GLD,I,0.2597133232841548
GLD,J,0.3785875351065788
GLD,K,1.1626351519411147
GLD,L,2.067981815106287
GLD,M,0.09274208698226924
GLD,N,0.19108238797915353
GLD,O,0.23894536829529012
GLD,P,0.12626187177026293
GLD,Q,0.23857856890921944
GLD,R,0.11508793925285046
GLD,S,0.2196187797454825
