Regions,Sectors,INIT_KAP
GLD,A,0.13753449078911625
GLD,B,0.16516069007452044
GLD,C,0.7248721277577136
GLD,D,0.14785421397982368
GLD,E,0.03025207924752681
GLD,F,0.1800342221144722
GLD,G,0.24928912954180885
GLD,H,0.1381449262383039
GLD,I,0.20132218386771497
GLD,J,0.30535586082591687
GLD,K,0.9345166479893738
GLD,L,1.643593103820934
GLD,M,0.07013212797482767
GLD,N,0.14846297488236188
GLD,O,0.18831045665322627
GLD,P,0.09911015250985561
GLD,Q,0.18983689883178853
GLD,R,0.09016343528962842
GLD,S,0.17216752237954025
