Regions,Sectors,INIT_KAP
GLD,A,0.17925206186934367
GLD,B,0.2248245650231628
GLD,C,0.9503985292842009
GLD,D,0.19602349094552796
GLD,E,0.07131387531030367
GLD,F,0.23695009127925923
GLD,G,0.3241034151773162
GLD,H,0.17924338598940204
GLD,I,0.265294127669633
GLD,J,0.3847529945343156
GLD,K,1.1815574939853608
GLD,L,2.1054480429205666
GLD,M,0.09493459615541917
GLD,N,0.19436083496333853
GLD,O,0.24344871697597278
GLD,P,0.1286722784074104
GLD,Q,0.24289807708307135
GLD,R,0.11731952327995658
GLD,S,0.22348903287344699
