Regions,Sectors,INIT_KAP
GLD,A,0.1437384148424272
GLD,B,0.17589399331470937
GLD,C,0.7649135322776462
GLD,D,0.1533561795482422
GLD,E,0.033988532176462145
GLD,F,0.1907528918383163
GLD,G,0.2674999657106822
GLD,H,0.14997253391720142
GLD,I,0.21136307993725018
GLD,J,0.32599195341139986
GLD,K,1.0004587734064252
GLD,L,1.7491897389677753
GLD,M,0.08610305331052076
GLD,N,0.17780980950254197
GLD,O,0.20284129652552885
GLD,P,0.10765802622003694
GLD,Q,0.20514899236094233
GLD,R,0.09582281011898491
GLD,S,0.19750756702638392
