Regions,Sectors,INIT_KAP
GLD,A,0.1369482379351356
GLD,B,0.16537234577406215
GLD,C,0.7191611223024972
GLD,D,0.14724792991278965
GLD,E,0.030409861537485455
GLD,F,0.17854593280665368
GLD,G,0.2465338022092311
GLD,H,0.13635229789024622
GLD,I,0.1999183983647718
GLD,J,0.301333108842252
GLD,K,0.921321317007013
GLD,L,1.6231927237223889
GLD,M,0.06972682244152864
GLD,N,0.14420569388752894
GLD,O,0.18578449623853968
GLD,P,0.09789764107591598
GLD,Q,0.18698216565290662
GLD,R,0.08926411223240827
GLD,S,0.1690017638062507
