Regions,Sectors,INIT_KAP
GLD,A,0.1369734820433002
GLD,B,0.16614942870248772
GLD,C,0.7174950852531439
GLD,D,0.1472562872545759
GLD,E,0.030641164380222023
GLD,F,0.17811099142579692
GLD,G,0.24522508504289098
GLD,H,0.13555171292001456
GLD,I,0.199624427580483
GLD,J,0.299181000711412
GLD,K,0.9140668311878601
GLD,L,1.6129212679042961
GLD,M,0.06987678719951321
GLD,N,0.14217870325151785
GLD,O,0.1844884236600211
GLD,P,0.0973509246688755
GLD,Q,0.18544898493882167
GLD,R,0.08891348577222051
GLD,S,0.16754792759811604
