Regions,Sectors,INIT_KAP
GLD,A,0.2114026809758398
GLD,B,0.2709988380729869
GLD,C,1.1344564500297556
GLD,D,0.234082640814302
GLD,E,0.050429820417917014
GLD,F,0.28284609426771573
GLD,G,0.3866901984386174
GLD,H,0.21363221676932972
GLD,I,0.31712351777909
GLD,J,0.45126479923268126
GLD,K,1.392543705576846
GLD,L,2.4949312989812507
GLD,M,0.11455321903234515
GLD,N,0.2335664929374734
GLD,O,0.29081328147286917
GLD,P,0.15372970847893103
GLD,Q,0.28927835338954105
GLD,R,0.1392615255579748
GLD,S,0.26675026559365966
