Regions,Sectors,INIT_KAP
GLD,A,0.17775012353422934
GLD,B,0.22255299945829543
GLD,C,0.9419787670387723
GLD,D,0.19418989979961848
GLD,E,0.0786628296253553
GLD,F,0.23487536647289914
GLD,G,0.32141442502698986
GLD,H,0.17779865910249631
GLD,I,0.2629129110278037
GLD,J,0.38199585345827086
GLD,K,1.1730604319953255
GLD,L,2.088928237663896
GLD,M,0.09400755565539291
GLD,N,0.1928707861069543
GLD,O,0.24145360018195552
GLD,P,0.12761140464982615
GLD,Q,0.24097500658682222
GLD,R,0.11635330035865588
GLD,S,0.22175537316290797
