Regions,Sectors,INIT_KAP
GLD,A,0.28923776090525155
GLD,B,0.39857554807478035
GLD,C,1.0518109043841248
GLD,D,0.5200208342070896
GLD,E,0.3570418809603182
GLD,F,0.43987344814605367
GLD,G,0.5733751631653141
GLD,H,0.20346927586268612
GLD,I,0.304209245239155
GLD,J,0.53188711931883
GLD,K,1.4478360875537781
GLD,L,2.4190907798385144
GLD,M,0.20489545455432973
GLD,N,0.2918801108160189
GLD,O,0.3486047315295366
GLD,P,0.14273168551719737
GLD,Q,0.26397877845871703
GLD,R,0.14066798133750674
GLD,S,0.2861981362667189
