Regions,Sectors,INIT_KAP
GLD,A,0.1745516894127125
GLD,B,0.21745218628034554
GLD,C,0.9246278409871864
GLD,D,0.19050857095876403
GLD,E,0.10078812503789655
GLD,F,0.23064490741932092
GLD,G,0.3163271580464426
GLD,H,0.17507267870753476
GLD,I,0.2579335143163883
GLD,J,0.37695977380253864
GLD,K,1.1576959874622854
GLD,L,2.0577499514052526
GLD,M,0.09198557895615624
GLD,N,0.19029184212463204
GLD,O,0.2377285653845673
GLD,P,0.12560107467619502
GLD,Q,0.23745803305239335
GLD,R,0.11441976198912357
GLD,S,0.21862806152290865
