Regions,Sectors,INIT_KAP
GLD,A,0.17779426931317216
GLD,B,0.22882827445380824
GLD,C,0.9468946933741476
GLD,D,0.2973937922686839
GLD,E,0.20406598280605742
GLD,F,0.2526925406453009
GLD,G,0.3384445819217606
GLD,H,0.18233588143399107
GLD,I,0.2640720200507371
GLD,J,0.39736638859735746
GLD,K,1.2157473564670689
GLD,L,2.145058431664751
GLD,M,0.11832266006892864
GLD,N,0.20521657197671686
GLD,O,0.2490277895982712
GLD,P,0.1305360183066263
GLD,Q,0.24875620166707874
GLD,R,0.11843947090282977
GLD,S,0.23088505630968945
