Regions,Sectors,INIT_KAP
GLD,A,0.18574398844859205
GLD,B,0.23432851413253067
GLD,C,0.9879981844004464
GLD,D,0.20376333875779437
GLD,E,0.04875030643950026
GLD,F,0.24613609920205662
GLD,G,0.3364902136208233
GLD,H,0.18599378521223328
GLD,I,0.27583633415101133
GLD,J,0.3976964262837748
GLD,K,1.2223855749353019
GLD,L,2.1824761357683333
GLD,M,0.09886405152332405
GLD,N,0.20140769094225627
GLD,O,0.25280123666561455
GLD,P,0.1336317236357269
GLD,Q,0.25205291039802646
GLD,R,0.12166401738344453
GLD,S,0.2316526582423278
