Regions,Sectors,INIT_KAP
GLD,A,0.4412912307285274
GLD,B,0.5617614853113043
GLD,C,2.3308555851724875
GLD,D,0.4718731320600464
GLD,E,0.10136007191741277
GLD,F,0.5409522715309352
GLD,G,0.8153457785377434
GLD,H,0.4652502127316027
GLD,I,0.6169462942062671
GLD,J,0.5832658228269533
GLD,K,2.131182785135288
GLD,L,4.715591270074565
GLD,M,0.2706919094603226
GLD,N,0.5232741323154496
GLD,O,0.6105474654529005
GLD,P,0.3328800895751383
GLD,Q,0.6182815495639645
GLD,R,0.26370801368256663
GLD,S,0.6123682327387013
