Regions,Sectors,INIT_KAP
GLD,A,0.1970686235614708
GLD,B,0.2507064568846802
GLD,C,1.052430258922034
GLD,D,0.2170989193574672
GLD,E,0.0467355652231628
GLD,F,0.2622419067347538
GLD,G,0.35829266101777474
GLD,H,0.19792458864297574
GLD,I,0.2939461667860713
GLD,J,0.4210610292632176
GLD,K,1.2961976788146263
GLD,L,2.3179977162704004
GLD,M,0.10582953462301978
GLD,N,0.21482777612905765
GLD,O,0.2693182483337106
GLD,P,0.1423472778518345
GLD,Q,0.26820135041054854
GLD,R,0.12931032411936563
GLD,S,0.24658085165690008
