Regions,Sectors,INIT_KAP
GLD,A,0.1371512481517783
GLD,B,0.16517907683349178
GLD,C,0.721431786811774
GLD,D,0.14746729820272678
GLD,E,0.030319052528433286
GLD,F,0.17913514131990646
GLD,G,0.2477027043622049
GLD,H,0.13710267703700987
GLD,I,0.2004537940617992
GLD,J,0.3030804983433907
GLD,K,0.9270827649886888
GLD,L,1.6319738735883254
GLD,M,0.06979573741877547
GLD,N,0.14597636620492369
GLD,O,0.18687500390952827
GLD,P,0.09839896069931849
GLD,Q,0.18822339240370642
GLD,R,0.08963400352298637
GLD,S,0.17031759653141268
