Regions,Sectors,INIT_KAP
GLD,A,0.20802446701596133
GLD,B,0.26624489580687666
GLD,C,1.1149303796545047
GLD,D,0.2301699835121435
GLD,E,0.04966814298452365
GLD,F,0.27796430380270654
GLD,G,0.3799274268890312
GLD,H,0.20986587796563239
GLD,I,0.3116104859157039
GLD,J,0.44409558859566245
GLD,K,1.3695142392897313
GLD,L,2.452549705431642
GLD,M,0.11251928079136345
GLD,N,0.22908421402172258
GLD,O,0.28566857798462897
GLD,P,0.1509954778140803
GLD,Q,0.2842087402155174
GLD,R,0.13688940729807159
GLD,S,0.2619211059201864
