Regions,Sectors,INIT_KAP
GLD,A,0.2750125859477565
GLD,B,0.3788328016389242
GLD,C,1.038906407556529
GLD,D,0.4941874871017521
GLD,E,0.3393003636694009
GLD,F,0.4181042277087548
GLD,G,0.544957524898015
GLD,H,0.2018227140218566
GLD,I,0.2913045135497495
GLD,J,0.5056779444438287
GLD,K,1.4114075019671575
GLD,L,2.3860951222516906
GLD,M,0.19482947371711506
GLD,N,0.27869870706510086
GLD,O,0.33147414800377395
GLD,P,0.14255021217072708
GLD,Q,0.2660216799412551
GLD,R,0.13582800640267645
GLD,S,0.27425869549076026
