Regions,Sectors,INIT_KAP
GLD,A,0.13715797893824275
GLD,B,0.16669060270945216
GLD,C,0.7178201253252646
GLD,D,0.14744852151749857
GLD,E,0.030776572502298885
GLD,F,0.1781895846335424
GLD,G,0.24500753020392793
GLD,H,0.13542895318281908
GLD,I,0.19978182562743052
GLD,J,0.29866661818918844
GLD,K,0.9122318029971379
GLD,L,1.6108328678465589
GLD,M,0.07003988963542862
GLD,N,0.14170580893772203
GLD,O,0.18421083359525905
GLD,P,0.09724901781170155
GLD,Q,0.18507749418904573
GLD,R,0.08889490712248081
GLD,S,0.16725166997570848
