Regions,Sectors,INIT_KAP
GLD,A,0.17849142587392597
GLD,B,0.22368287231367515
GLD,C,0.9461099761942962
GLD,D,0.19510813872006272
GLD,E,0.07489163155113104
GLD,F,0.23589492113693203
GLD,G,0.32272678345051053
GLD,H,0.17850175864435402
GLD,I,0.26408273475064414
GLD,J,0.3833368289222452
GLD,K,1.1771812182801735
GLD,L,2.096971195265746
GLD,M,0.09446871774434641
GLD,N,0.19359310850215808
GLD,O,0.24242441459308298
GLD,P,0.12812774906707916
GLD,Q,0.24190821692181405
GLD,R,0.11682668076511984
GLD,S,0.2225973074784841
