Regions,Sectors,INIT_KAP
GLD,A,0.30421848059774903
GLD,B,0.4193614853778985
GLD,C,1.0653550662185192
GLD,D,0.5472164984080662
GLD,E,0.3757178195315562
GLD,F,0.46279334863376886
GLD,G,0.6032934903722478
GLD,H,0.2044445984184416
GLD,I,0.3197941863518851
GLD,J,0.5595223916299673
GLD,K,1.4919378251149906
GLD,L,2.453621108155873
GLD,M,0.21549465914757232
GLD,N,0.3057979724082226
GLD,O,0.36665395854147953
GLD,P,0.1419209522543758
GLD,Q,0.2596196835529879
GLD,R,0.14749225940578775
GLD,S,0.2997274578450581
