Regions,Sectors,INIT_KAP
GLD,A,0.32551191229515253
GLD,B,0.4138793280252664
GLD,C,1.7143822343235882
GLD,D,0.34793674623500304
GLD,E,0.07538303188290288
GLD,F,0.3988762065683964
GLD,G,0.6006187084256607
GLD,H,0.3432837731557611
GLD,I,0.45457691015494195
GLD,J,0.4756156365160557
GLD,K,1.568600716442584
GLD,L,3.4677363924271654
GLD,M,0.19995197801966616
GLD,N,0.39060093357160314
GLD,O,0.44998838143271985
GLD,P,0.2458687491422477
GLD,Q,0.4556973919928005
GLD,R,0.19533656970982735
GLD,S,0.4518115536462075
