Regions,Sectors,INIT_KAP
GLD,A,0.5530992713773224
GLD,B,0.77377077381572
GLD,C,1.7806719501870365
GLD,D,0.9670840624660074
GLD,E,0.623825511026136
GLD,F,0.8268826604994589
GLD,G,1.1787115452171744
GLD,H,0.3522881587783301
GLD,I,0.5906369458844615
GLD,J,0.9867659341534673
GLD,K,2.5279371954370755
GLD,L,4.065459110561144
GLD,M,0.39950955968719726
GLD,N,0.48633360612071375
GLD,O,0.7020982313568546
GLD,P,0.24584347458590625
GLD,Q,0.44275030987144803
GLD,R,0.25956242977276034
GLD,S,0.4797593627894872
