Regions,Sectors,INIT_KAP
GLD,A,0.17405398876048422
GLD,B,0.21655905578500678
GLD,C,0.9221373953418001
GLD,D,0.1899449930199676
GLD,E,0.105947492411474
GLD,F,0.23004486758748283
GLD,G,0.3157147546273192
GLD,H,0.17475290785475742
GLD,I,0.25719529136185276
GLD,J,0.3764066845888871
GLD,K,1.156022965821556
GLD,L,2.054136588812098
GLD,M,0.09164862216391398
GLD,N,0.1900621759623079
GLD,O,0.23730221810189264
GLD,P,0.1253657459599884
GLD,Q,0.23708461923445115
GLD,R,0.11415928746726099
GLD,S,0.21830928660276389
