index0,index1,RAW_XPO_JOUT
GLD,A,16651.9617
GLD,B,215242.6464
GLD,C,107002.19429999999
GLD,D,816.8241000000002
GLD,E,2662.5375999999997
GLD,F,20665.2791
GLD,G,5361.8476
GLD,H,13594.3959
GLD,I,27098.417500000003
GLD,J,5139.0109
GLD,K,5735.5896999999995
GLD,L,5564.2524
GLD,M,9892.1823
GLD,N,3367.8082999999997
GLD,O,459.0088
GLD,P,16583.7055
GLD,Q,810.3426
GLD,R,2139.0627
GLD,S,580.6912
