index0,index1,REG_LAB
GLD,A,566.0
GLD,B,964.0
GLD,C,4513.0
GLD,D,858.0
GLD,E,3251.0
GLD,F,644.0
GLD,G,2821.0
GLD,H,2015.0
GLD,I,2510.0
GLD,J,150.0
GLD,K,301.0
GLD,L,594.0
GLD,M,2094.0
GLD,N,801.0
GLD,O,1302.0
GLD,P,2286.0
GLD,Q,2165.0
GLD,R,174.0
GLD,S,1106.0
