index0,index1,RAW_MED_OUT
GLD,A,54729.717500000006
GLD,B,113669.2929
GLD,C,270856.04279999994
GLD,D,71846.3515
GLD,E,335225.2618999999
GLD,F,68319.0151
GLD,G,54487.5995
GLD,H,47112.11260000001
GLD,I,112987.0405
GLD,J,62029.505300000004
GLD,K,94106.03379999999
GLD,L,103586.7463
GLD,M,128591.51619999998
GLD,N,40318.520000000004
GLD,O,64937.161799999994
GLD,P,42057.63880000001
GLD,Q,57718.4528
GLD,R,25984.583599999998
GLD,S,32087.768399999997
