index0,index1,RAW_CON_FLW
GLD,A,12068.7049
GLD,B,5882.857999999999
GLD,C,180967.8255
GLD,D,28777.7098
GLD,E,2265.0407
GLD,F,40278.1345
GLD,G,99492.0144
GLD,H,75239.75559999999
GLD,I,68185.1872
GLD,J,29619.8596
GLD,K,91254.9517
GLD,L,211530.33020000003
GLD,M,11434.8632
GLD,N,9761.872800000001
GLD,O,136050.7194
GLD,P,113008.7634
GLD,Q,189877.11349999998
GLD,R,30598.809500000003
GLD,S,37408.669499999996
