Regions,Sectors,INIT_KAP
GLD,A,0.45310606677756077
GLD,B,0.5284790370991771
GLD,C,2.3285112512179573
GLD,D,0.4548371134778586
GLD,E,0.1484662496872235
GLD,F,0.5784601481177845
GLD,G,0.8306027036116209
GLD,H,0.47112624457938723
GLD,I,0.6188485262092389
GLD,J,0.9531106653573022
GLD,K,3.1661018593584216
GLD,L,5.175629175478487
GLD,M,0.2507001803398771
GLD,N,0.6199301492489052
GLD,O,0.6315853615537553
GLD,P,0.335216803423443
GLD,Q,0.6365653200541712
GLD,R,0.30510611660816594
GLD,S,0.6397077951157832
