Regions,Sectors,INIT_KAP
GLD,A,0.43079350683989703
GLD,B,0.5023472504572257
GLD,C,2.2126962083993056
GLD,D,0.4326890166015307
GLD,E,0.14120725494789332
GLD,F,0.5499403204254132
GLD,G,0.7954896641641521
GLD,H,0.44871660131790914
GLD,I,0.5951192979862341
GLD,J,0.9362000826504254
GLD,K,3.1092808322745067
GLD,L,5.077404972170012
GLD,M,0.2384510944845271
GLD,N,0.5902763626507924
GLD,O,0.6016001861393871
GLD,P,0.31894310743572246
GLD,Q,0.6164754081093211
GLD,R,0.2930760675970331
GLD,S,0.6089632394435746
