Regions,Sectors,INIT_KAP
GLD,A,0.5275150506738905
GLD,B,0.6155471483754447
GLD,C,2.7148240608736636
GLD,D,0.5293766250600782
GLD,E,0.1726369784274955
GLD,F,0.673679287111872
GLD,G,0.9675813798399178
GLD,H,0.5482307837788297
GLD,I,0.7205862138116863
GLD,J,1.0088704723655528
GLD,K,3.3540975631809125
GLD,L,5.673878057403202
GLD,M,0.2915489766461641
GLD,N,0.7187912507748713
GLD,O,0.7354292083831211
GLD,P,0.38989305667247953
GLD,Q,0.7364827391871789
GLD,R,0.35454619119894426
GLD,S,0.7426431179638743
