index0,index1,RAW_DOM_JOUT
GLD,A,83054.0383
GLD,B,111317.3536
GLD,C,591147.8057
GLD,D,119576.1759
GLD,E,479290.4624
GLD,F,119957.7209
GLD,G,129051.1524
GLD,H,97800.6041
GLD,I,192960.5825
GLD,J,111811.9891
GLD,K,260702.4103
GLD,L,322168.7476
GLD,M,265785.8177
GLD,N,108123.1917
GLD,O,166726.9912
GLD,P,118699.2945
GLD,Q,196370.6574
GLD,R,42217.9373
GLD,S,66429.3088
