index0,index1,RAW_LAB_OUT
GLD,A,9033.0
GLD,B,29018.0
GLD,C,66145.0
GLD,D,13993.0
GLD,E,74953.0
GLD,F,45102.0
GLD,G,52215.0
GLD,H,31399.0
GLD,I,43852.0
GLD,J,19175.0
GLD,K,48617.0
GLD,L,19009.0
GLD,M,97267.0
GLD,N,56340.0
GLD,O,82225.0
GLD,P,80561.0
GLD,Q,116687.0
GLD,R,9299.0
GLD,S,24005.0
