index0,index1,RAW_KAP_OUT
GLD,A,31240.0
GLD,B,162123.0
GLD,C,40552.0
GLD,D,30795.0
GLD,E,65169.0
GLD,F,24174.0
GLD,G,24046.0
GLD,H,10614.0
GLD,I,42034.0
GLD,J,23080.0
GLD,K,108194.0
GLD,L,175525.0
GLD,M,31825.0
GLD,N,8067.0
GLD,O,17679.0
GLD,P,10532.0
GLD,Q,18678.0
GLD,R,6257.0
GLD,S,8625.0
